Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Chiroderma_doriae	1023	4	3	0.00228426513717192	2627
Chiroderma_trinitatum	1646	10	11	0.00423185113813910	6567
Chiroderma_trinitatum	1741	3	2	0.00202942668696093	1971
Chiroderma_trinitatum	1830	2	9	0.0136986301369863	1314
Chiroderma_trinitatum	1831	28	18	0.00793649621430706	18137
Chiroderma_trinitatum	1832	4	12	0.0111618467782851	2628
Chiroderma_villosum	1646	17	21	0.00859631078180243	11168
Chiroderma_villosum	1741	6	13	0.00900160205180623	3922
Chiroderma_villosum	1830	2	1	0.00152207001522070	1314
Chiroderma_villosum	1831	27	32	0.00845133589310799	17704
Chiroderma_villosum	1832	2	1	0.00152207001522070	1314
Chiroderma_villosum	1916	2	0	0	1314
Chiroderma_villosum	2273	2	1	0.00152439024390244	1313
Chodsigoa_hypsibia	2773	3	4	0.00451212633953751	1773
Chodsigoa_parca	2776	4	42	0.0360970107163001	2364
Choeroniscus_minor	1741	2	31	0.0471841704718417	1314
Choeroniscus_minor	1831	6	1	0.000817385439876472	3923
Chrotopterus_auritus	1023	3	0	0	1971
Chrotopterus_auritus	1646	2	1	0.00152671755725191	1312
Chrotopterus_auritus	1741	3	0	0	1962
Chrotopterus_auritus	1831	55	29	0.0115563898045303	36080
Chrotopterus_auritus	1832	2	0	0	1314
Chrotopterus_auritus	2273	2	0	0	1314
Chrysocyon_brachyurus	1204	38	64	0.0498798380227690	7035
Coleura_afra	1585	18	27	0.0207220381810766	11826
Coleura_afra	1675	3	5	0.00507356671740233	1971
Colomys_goslingi	1762	3	3	0.00279720279720280	2153
Condylura_cristata	2905	3	0	0	1962
Condylura_cristata	2909	4	2	0.00152207001522070	2628
Conepatus_chinga	479	2	2	0.00303951367781155	1316
Conepatus_chinga	568	4	3	0.00227963525835866	2632
Conepatus_chinga	569	3	2	0.00202634245187437	1974
Conepatus_chinga	570	3	3	0.00303951367781155	1974
Conepatus_chinga	751	3	12	0.0121580547112462	1974
Conepatus_chinga	840	2	5	0.00766871165644172	1310
Conepatus_chinga	842	3	0	0	561
Conepatus_chinga	843	2	1	0.00534759358288770	374
Conepatus_semistriatus	1202	2	0	0	374
Cormura_brevirostris	1646	6	13	0.00832064941653983	3942
Cormura_brevirostris	1741	11	128	0.0842259885861623	7226
Cormura_brevirostris	1831	31	25	0.00522561987137174	19912
Cormura_brevirostris	2005	2	2	0.00318471337579618	1285
Cricetomys_emini	1844	4	3	0.00228310502283105	2628
Cricetulus_longicaudatus	2770	12	20	0.0118414918414918	7800
Cricetus_cricetus	3017	19	1	0.000797020712063823	12590
Cricetus_cricetus	3020	2	1	0.00150375939849624	1330
Crocidura_eburnea	1934	7	24	0.0179536827028848	4907
Crocidura_goliath	1669	3	1	0.000949667616334283	2106
Crocidura_obscurior	1934	10	40	0.0284315102390220	6886
Crocidura_olivieri	1941	2	0	0	1404
Crocidura_wuchihensis	2412	4	4	0.00405885337392187	2628
Crocuta_crocuta	2811	2	2	0.0106951871657754	374
Crossarchus_obscurus	1933	6	127	0.0644342973110096	3942
Cryptotis_nigrescens	2273	2	4	0.00608828006088280	1314
Ctenomys_dorbignyi	931	2	0	0	1386
Ctenomys_pearsoni	751	4	16	0.0125060125060125	2772
Ctenomys_perrensi	841	2	1	0.00144300144300144	1386
Cuniculus_paca	1831	22	19	0.00544339710727949	14453
Cynomops_paranus	1831	6	4	0.00203438406512756	3940
Cynomops_paranus	1921	7	6	0.00290050682633376	4598
Cynomys_ludovicianus	2989	2	0	0	1309
Cynopterus_brachyotis	1695	5	3	0.00244112678164217	3280
Cynopterus_brachyotis	2052	17	10	0.00502023054052841	10889
Cynopterus_horsfieldii	1781	2	2	0.00357142857142857	1215
Cynopterus_horsfieldii	1875	3	18	0.0220906873296025	1682
Cynopterus_sphinx	1783	2	10	0.0152207001522070	1314
Cynopterus_sphinx	2052	53	45	0.00767806707604205	34807
Cynopterus_sphinx	2142	12	18	0.00915366236038336	7875
Cynopterus_sphinx	2232	5	10	0.00883311059137989	3284
Cynopterus_sphinx	2233	4	14	0.0106544901065449	2628
Cynopterus_sphinx	2412	35	33	0.00632493408407698	22910
Cynopterus_titthaecheilus	1512	2	0	0	1311
Dacnomys_millardi	2322	2	0	0	1430
Dasyprocta_leporina	1741	2	2	0.00305810397553517	1311
Dasyprocta_leporina	1831	5	1	0.000614101319526840	3263
Dasypus_kappleri	1831	2	0	0	1314
Dephomys_defua	1844	3	3	0.00304414003044140	1971
Desmodus_rotundus	1023	8	0	0	5252
Desmodus_rotundus	1646	12	9	0.00569265760519347	7866
Desmodus_rotundus	1741	32	5	0.00194577405374734	21022
Desmodus_rotundus	1829	2	0	0	1303
Desmodus_rotundus	1831	30	5	0.00159150339577424	19579
Desmodus_rotundus	1916	2	0	0	1314
Desmodus_rotundus	1921	8	1	0.000387686449919598	5181
Desmodus_rotundus	2005	4	0	0	2574
Desmodus_rotundus	2093	3	3	0.00306284442386961	1965
Desmodus_rotundus	2182	3	0	0	1971
Desmodus_rotundus	2183	6	1	0.000507356671740233	3942
Desmodus_rotundus	2273	4	1	0.00101704066766276	2625
Diaemus_youngi	1741	2	2	0.00304414003044140	1314
Diaemus_youngi	1831	2	3	0.00456621004566210	1314
Diclidurus_isabellus	1831	25	4	0.00317382514844891	16404
Dicrostonyx_groenlandicus	3259	19	15	0.00539999119744994	12477
Dicrostonyx_groenlandicus	3262	25	5	0.00130039664807523	16414
Dicrostonyx_groenlandicus	3265	51	7	0.00440325171510649	33443
Dicrostonyx_groenlandicus	3268	20	4	0.00140386198507829	13129
Dicrostonyx_groenlandicus	3346	21	2	0.000972281695451709	13792
Dicrostonyx_groenlandicus	3347	35	9	0.00200555107887907	22995
Dicrostonyx_groenlandicus	3351	20	2	0.000440831237800482	13139
Dicrostonyx_groenlandicus	3352	46	3	0.000476735774634794	30203
Dicrostonyx_groenlandicus	3354	52	10	0.00126977861539839	34137
Dicrostonyx_groenlandicus	3355	11	2	0.00132847857121162	7226
Dicrostonyx_groenlandicus	3356	6	2	0.00131912734652461	3942
Dicrostonyx_hudsonius	3086	27	1	0.000477001999072014	17739
Dicrostonyx_richardsoni	3172	71	9	0.00218680854139059	46575
Dicrostonyx_richardsoni	3173	31	3	0.000689404363450150	20324
Didelphis_albiventris	842	3	1	0.00102092904543134	1959
Didelphis_albiventris	843	5	1	0.000612557427258806	3265
Didelphis_albiventris	1114	42	7	0.00264658958118786	27426
Didelphis_albiventris	1115	40	3	0.00172183610162168	26120
Didelphis_albiventris	1205	2	0	0	1306
Didelphis_aurita	1115	8	2	0.00101274961252018	5112
Didelphis_imperfecta	1830	4	3	0.00228310502283105	2628
Didelphis_imperfecta	1831	11	7	0.00381901203819012	7227
Didelphis_marsupialis	1645	2	2	0.00304414003044140	1314
Didelphis_marsupialis	1741	7	2	0.00159454953975502	4599
Didelphis_marsupialis	1831	8	7	0.00419050861285916	5252
Didelphis_marsupialis	1915	2	5	0.00761035007610350	1314
Didelphis_marsupialis	1920	2	2	0.00304414003044140	1314
Didelphis_marsupialis	1921	4	3	0.00229130078445147	2621
Didelphis_marsupialis	2004	2	1	0.00152207001522070	1314
Didelphis_marsupialis	2182	3	16	0.0162354134956875	1971
Didelphis_marsupialis	2183	2	1	0.00152207001522070	1314
Didelphis_marsupialis	2273	6	0	0	3942
Didelphis_pernigra	1646	4	0	0	2628
Didelphis_virginiana	2273	12	0	0	7867
Didelphis_virginiana	2815	2	0	0	1314
Didelphis_virginiana	2905	4	0	0	2628
Diphylla_ecaudata	2183	2	0	0	1314
Dipodomys_compactus	2451	3	0	0	1836
Dipodomys_merriami	2628	10	9	0.00497307503516436	6569
Dipus_sagitta	2864	2	3	0.00456621004566210	1314
Dromiciops_gliroides	567	2	0	0	3084
Eidolon_helvum	1674	6	13	0.00761035007610350	3942
Eidolon_helvum	1764	10	19	0.00781329274479959	6570
Emballonura_monticola	1871	2	4	0.0147601476014760	692
Enchisthenes_hartii	1915	3	20	0.0206751975303133	1928
Eolagurus_przewalskii	2864	3	0	0	1971
Eonycteris_spelaea	2052	2	4	0.00608828006088280	1314
Eonycteris_spelaea	2142	2	0	0	1314
Eonycteris_spelaea	2412	11	8	0.00427168369665918	7219
Eospalax_fontanierii	2681	2	1	0.00178571428571429	1138
Eothenomys_chinensis	2591	6	1	0.000514403292181070	3888
Eothenomys_melanogaster	2502	2	13	0.0210016155088853	1247
Eothenomys_melanogaster	2591	2	9	0.0138888888888889	1296
Episoriculus_caudatus	2776	6	27	0.0254935138183869	3546
Episoriculus_leucops	2776	4	2	0.00169204737732657	2364
Episoriculus_macrurus	2776	6	114	0.0883248730964467	3546
Epomophorus_gambianus	1850	18	17	0.0100169923415194	12325
Epomophorus_gambianus	1941	6	18	0.0114841849148419	4110
Epomophorus_labiatus	1674	2	13	0.0198170731707317	1313
Epomophorus_wahlbergi	1585	3	0	0	1971
Epomophorus_wahlbergi	1675	5	0	0	3275
Eptesicus_bobrinskoi	3030	4	3	0.00228310502283105	2628
Eptesicus_bottae	2580	2	0	0	1314
Eptesicus_bottae	2667	2	4	0.00626959247648903	1295
Eptesicus_chiriquinus	1831	21	24	0.00602339189488818	13669
Eptesicus_furinalis	1646	3	13	0.0132036480182153	1970
Eptesicus_furinalis	1831	13	22	0.0101244486332684	8268
Eptesicus_furinalis	1920	2	3	0.00550458715596330	1202
Eptesicus_furinalis	1921	5	21	0.0151557694609391	3212
Eptesicus_furinalis	2183	2	2	0.00304414003044140	1314
Eptesicus_furinalis	2273	3	1	0.00160256410256410	1249
Eptesicus_furinalis	2274	9	137	0.0473532893624218	5913
Eptesicus_fuscus	2628	3	2	0.00202634245187437	1974
Eptesicus_fuscus	2635	2	1	0.00151975683890578	1316
Eptesicus_fuscus	2716	7	15	0.00651324359531046	4606
Eptesicus_fuscus	2726	11	2	0.00138092431042757	7133
Eptesicus_fuscus	2812	4	3	0.00243815294188691	2578
Eptesicus_fuscus	2814	7	8	0.00405268490374873	4606
Eptesicus_fuscus	2817	2	2	0.00303951367781155	1316
Eptesicus_fuscus	2895	11	6	0.00174793771621290	7189
Eptesicus_fuscus	2904	13	1	0.000604430199212622	8493
Eptesicus_fuscus	2906	43	8	0.00324095742931280	28134
Eptesicus_fuscus	2909	2	0	0	1308
Eptesicus_fuscus	2988	3	0	0	1971
Eptesicus_fuscus	2998	11	3	0.000834028356964137	7194
Eptesicus_fuscus	3073	34	57	0.00563377978380675	22236
Eptesicus_fuscus	3076	10	2	0.000611620795107034	6540
Eptesicus_fuscus	3079	11	3	0.00105643591882124	7194
Eptesicus_gobiensis	3039	2	0	0	1314
Eptesicus_nilssonii	2631	2	0	0	1112
Eptesicus_nilssonii	3045	2	2	0.00334448160535117	1230
Eptesicus_nilssonii	3111	2	0	0	1279
Eptesicus_nilssonii	3114	2	3	0.00751879699248120	1045
Eptesicus_nilssonii	3117	2	0	0	1314
Eptesicus_nilssonii	3218	3	0	0	1886
Eptesicus_serotinus	2321	2	1	0.00152207001522070	1314
Eptesicus_serotinus	2631	5	2	0.00215827338129496	2780
Eptesicus_serotinus	2936	2	0	0	775
Eptesicus_serotinus	3027	2	1	0.00179533213644524	1214
Eptesicus_serotinus	3028	2	1	0.00152207001522070	1314
Eptesicus_serotinus	3030	3	1	0.00101471334348047	1971
Eptesicus_serotinus	3114	6	50	0.0443713293157895	3574
Eremitalpa_granti	862	2	0	0	3084
Eudiscopus_denticulus	2142	14	10	0.00250509369050402	9212
Eumops_auripendulus	1831	6	2	0.00131912734652461	3942
Eumops_hansae	1831	9	7	0.00271801417689108	5799
Euryoryzomys_macconnelli	1646	23	12	0.00487257725603432	15074
Euryoryzomys_macconnelli	1741	15	27	0.0150180386968726	9813
Euryoryzomys_macconnelli	1831	2	13	0.0197869101978691	1314
Euryoryzomys_macconnelli	1832	2	2	0.00304414003044140	1314
Exilisciurus_exilis	1784	2	0	0	1314
Funisciurus_pyrropus	1934	2	0	0	1314
Furipterus_horrens	1831	4	6	0.00481988838153222	2628
Galictis_cuja	1024	2	1	0.00534759358288770	374
Glauconycteris_beatrix	1934	5	5	0.00334855403348554	3285
Glauconycteris_poensis	1934	3	7	0.00713016222811539	1966
Glischropus_tylopus	1871	2	0	0	377
Glischropus_tylopus	2142	16	13	0.00318425242437400	10164
Glossophaga_commissarisi	1916	3	0	0	1971
Glossophaga_commissarisi	2005	7	7	0.00434877147205914	4599
Glossophaga_commissarisi	2093	14	29	0.0107046682389148	9198
Glossophaga_commissarisi	2182	4	4	0.00304568684956256	2627
Glossophaga_commissarisi	2183	8	9	0.00717547292889759	5256
Glossophaga_leachii	2093	9	1	0.000338237781160156	5913
Glossophaga_longirostris	1741	13	3	0.000898108070577779	8537
Glossophaga_longirostris	1829	11	7	0.00287809602878096	7227
Glossophaga_longirostris	1831	8	2	0.000970633276045529	5044
Glossophaga_longirostris	2009	6	7	0.00507356671740233	3942
Glossophaga_soricina	1646	4	20	0.0167232870350490	2609
Glossophaga_soricina	1741	50	153	0.0211455918316425	32840
